露營場名稱,縣市別,鄉/鎮/市/區,經度,緯度,地址,電話,手機,網站
鷗漫景觀營地,宜蘭縣,礁溪鄉,121.705847,24.811983,262宜蘭縣礁溪鄉匏杓崙路132-15號,,975028669,
山谷樂生態露營園區,宜蘭縣,蘇澳鎮,121.730342,24.618825,聯絡地址:宜蘭縣冬山鄉中山村中山路802號,,911820455,
睡海邊露營區,宜蘭縣,蘇澳鎮,121.836179,24.516189,宜蘭縣蘇澳鎮東澳路121巷25號,,932090655,
武荖坑風景區露營場,宜蘭縣,蘇澳鎮,121.8131919,24.6119909,武荖坑路75號,,,
納格林野營,花蓮縣,光復鄉,121.37909,23.60428,大豐村大豐路157之一,,,
那座山隱癮露營區,花蓮縣,秀林鄉,121.65706,24.15068,"崇德村13鄰崇德192之16號,",,937166926,
山民治97漫活營地,花蓮縣,秀林鄉,121.632992,24.126285,民治97號,,987954899,https://www.facebook.com/people/%E5%B1%B1%E6%B0%91%E6%B2%BB97%E6%BC%AB%E6%B4%BB%E7%87%9F%E5%9C%B0/100091120017495/
佐倉高地,花蓮縣,秀林鄉,121.5521466,24.01217689,,,,
巴罕營家-清水斷崖露營,花蓮縣,秀林鄉,121.6595264,24.15979129,,,,
野宅,花蓮縣,秀林鄉,121.65701,24.1502,,,,
踏浪星辰露營區,花蓮縣,新城鄉,121.6318777,24.02598126,,,,
海憩露營區,花蓮縣,新城鄉,121.6286149,24.10949667,,,,
富興休閒農場,花蓮縣,瑞穗鄉,121.3876938,23.57739342,富興村8鄰富興73之1號,,,
花蓮海洋露營區,花蓮縣,壽豐鄉,121.6069405,23.92234916,大橋30之6號,,,
山度空間,花蓮縣,壽豐鄉,121.60314,23.91136,,,,
後山星月,花蓮縣,壽豐鄉,121.5594781,23.87584798,,,,
瞰海露營區,花蓮縣,壽豐鄉,121.6006,23.87807,鹽寮200之7號,,935540056,https://chcamping.bnbhl.net/note.php
觀星居露營場,花蓮縣,壽豐鄉,121.546852,23.852171,,,912682181,
磯崎好聚落高山森林基地,花蓮縣,豐濱鄉,121.5468559,23.68454234,,,,
石梯坪露營區,花蓮縣,豐濱鄉,121.5115924,23.48417257,花蓮縣豐濱鄉石梯坪52號,,930596580,
海稻米露營區,花蓮縣,豐濱鄉,121.532,23.645,東興段109地號,963529958,963529958,https://searicecamping.com/
西洪露營場,金門縣,金湖鎮,118.4318981,24.44536939,安民1之15號,82318823,,
金門金寧_中山林露營區,金門縣,金寧鄉,118.355405,24.440854,后盤村4鄰伯玉路二段 ４６０之１號,82313100,,
洞九的山莊,南投縣,中寮鄉,120.8226572,23.9558857,清水村頂坑巷12號,,932561535,https://www.facebook.com/Kuo009/
長壽天然農場露營區,南投縣,中寮鄉,120.8143417,23.9151358,永樂路158號,,972952039,
森山谷,南投縣,中寮鄉,,,露營場地址：南投縣中寮鄉福山巷。通訊地址：南投市仁智街45號。,,979330906,
雲峯景觀莊園(雲の景觀莊園),南投縣,中寮鄉,120.825115,23.939829,清水村瀧林巷35-13號,,937767367,http://yunfeng2015.blogspot.tw/?m=1
賞星月慕露營區,南投縣,中寮鄉,120.7818953,23.8955372,南投縣中寮鄉復興村復興巷31-12號旁,,932057655,
橋頭溪畔露營區,南投縣,中寮鄉,120.8109905,23.9108014,永樂路165-8號,,933166997,
合樂露營區(晨星露營區),南投縣,中寮鄉,,,,,,
森呼吸,南投縣,中寮鄉,120.8133036,23.9245307,合興村永樂路201號,,936313139,https://www.facebook.com/profile.php?id=100064168291942
本之山農場(本之山露營區),南投縣,中寮鄉,120.75952,23.88733,愛鄉巷39-25號,,912579478,
潺潺森活,南投縣,中寮鄉,120.8005562,23.9055349,仙洞巷39-8 號,,935080173,https://www.facebook.com/Zen.Life.Camping.398/
依星生態農場,南投縣,中寮鄉,120.83453,23.96077,清水村頂坑巷1-1號,,932631420,
鶴里翁露營區,南投縣,中寮鄉,120.7684353,23.9415135,南投縣中寮鄉龍南路151-20號,,932658049,https://www.easycamp.com.tw/Store_2312.html
雲淡風清營地,南投縣,中寮鄉,120.7983336,23.9386587,瀧淋巷 81-8 號,,932596277,https://www.facebook.com/clear818/
舞蝶到了露營區,南投縣,中寮鄉,120.78514,23.87292,永平路100-36號,,939881231,
腸寶圖露營農場,南投縣,中寮鄉,120.8036,23.88115,福盛村福山路149號,,932691802,
言葉之庭露營區,南投縣,中寮鄉,120.8062038,23.9007125,永樂路134之2號,,921742387,https://campground-227.business.site/
山上有魚,南投縣,仁愛鄉,120.95513,24.06474,清流段1389、1390、1393地號,,975120340,
芭喇露營區生態休閒農莊,南投縣,仁愛鄉,121.0520012,23.9069458,武界林道,,905112883,https://www.facebook.com/p/%E8%8A%AD%E5%96%87%E9%9C%B2%E7%87%9F%E5%8D%80%E7%94%9F%E6%85%8B%E8%BE%B2%E5%A0%B4-100063518425704/
螢營的天空,南投縣,仁愛鄉,121.1516304,24.0367618,榮光巷1附2號,,901005861,
原夢觀光農園,南投縣,仁愛鄉,121.0894206,24.013965,松原巷80號,,987239826,https://www.facebook.com/wef2759k/
沙庫斯露營區,南投縣,仁愛鄉,121.1892008,24.0164984,精英村榮華巷202-2號,,911613026,https://www.facebook.com/SakusLuYingQu/
曉山秋,南投縣,仁愛鄉,121.09093,23.96501,親愛村親和巷150附5號,,966598362,
飛瀑露營區feipucamping,南投縣,仁愛鄉,121.1117121,24.03253656,南豐村中正路1-1號,,965658566,
達巴斯露營區,南投縣,仁愛鄉,121.0517349,23.908737,栗溪路1號,,966712612,http://www.facebook.com/Dabas.2015
賽德克公主美食文化露營區,南投縣,仁愛鄉,121.0888527,24.0127762,南投縣仁愛鄉松原巷78-1號,,980618781,https://www.facebook.com/mm0492920288/
圓山5號露營區,南投縣,仁愛鄉,121.0510812,23.9153274,武安路716之1號,,986537921,
姥姥莊園,南投縣,仁愛鄉,120.994,24.08143,山林巷6號,,910593942,
月夢田,南投縣,仁愛鄉,120.9896,24.07967,山林巷6-2號,,910566765,https://www.facebook.com/YMTBandB/
雲窩森林露營區,南投縣,仁愛鄉,121.0513508,23.9238772,茶園巷1附2號,,978377711,https://www.facebook.com/p/%E6%AD%A6%E7%95%8C-%E9%9B%B2%E7%AA%A9%E6%A3%AE%E6%9E%97%E9%9C%B2%E7%87%9F%E5%8D%80-100070202198717/?locale=zh_TW
星空谷露營地,南投縣,仁愛鄉,120.9890694,23.8901308,中正村平等巷1號,,901005861,https://campground-94.business.site/
旅人蕉小棧(旅人蕉露營區),南投縣,仁愛鄉,120.95352,24.06751,明月巷1附1號,,982001602,
青天樂活露營區,南投縣,仁愛鄉,121.047642,23.9175,界山巷6之1號,492977258,,https://www.facebook.com/people/%E9%9D%92%E5%A4%A9%E6%A8%82%E6%B4%BB%E9%9C%B2%E7%87%9F%E5%8D%80/100054638490687/
漫活幸福露營區,南投縣,仁愛鄉,121.1551857,24.1192901,發祥村7鄰光復巷199附2號,,932521031,https://www.facebook.com/happy99camp/
卡度6號角落,南投縣,仁愛鄉,120.983925,23.9109,中正村光明路102-6號,,970312818,
紅香露營區,南投縣,仁愛鄉,121.178008,24.145841,發祥村溪門巷19-1號,,935685389,https://www.facebook.com/gpo8001i/
伴天聊露營區,南投縣,仁愛鄉,120.990465,24.0839351,新生村山林巷18附1號,,936964799,https://www.facebook.com/BTL1116/
玩皮獵人藝棧,南投縣,仁愛鄉,121.0870871,24.0193725,無,492920089,937433976,https://alanhunter.weebly.com/
來來圓夢露營區DreamerCamp,南投縣,仁愛鄉,120.99043,23.90332,無,,935926921,
辣妹子露營區,南投縣,仁愛鄉,121.1605948,24.0282169,虎門巷61-3號,,939713335,
迦南之地露營區,南投縣,仁愛鄉,121.04081,23.90854,投71鄉道34號,,988785051,
德貝頌露營區,南投縣,仁愛鄉,121.1621104,24.1242696,南投縣仁愛鄉瑞和路64號,,935996150,https://www.facebook.com/TbsunCampArea/
樹不老露營區,南投縣,仁愛鄉,120.9852215,24.0766317,山林巷46附2號,,912648626,https://www.facebook.com/lmosay/?modal=admin_todo_tour
木谷森林,南投縣,仁愛鄉,121.07969,23.9988,中正路105號,,963169865,
博拉廬露營區,南投縣,仁愛鄉,121.1972274,24.0305203,南投縣仁愛鄉精英村富貴路榮華巷203附3號,,937248996,
白熊屋,南投縣,仁愛鄉,121.1608,24.0449,大同村定遠新村30-1號,,936265411,
太魯灣溫泉露營區,南投縣,仁愛鄉,121.1669268,24.0229731,虎門巷97附1號,,928177926,
築露中原露營區,南投縣,仁愛鄉,120.9778531,24.0661482,原名路43附2號,,932976796,https://www.facebook.com/jimmy4128/
山林好蒔光,南投縣,仁愛鄉,121.1078327,23.9895278,高峰巷70附1號,,918575357,https://www.facebook.com/slhsg514/?locale=zh_TW
春陽.觀休閒露營區(觀溫泉營地),南投縣,仁愛鄉,121.16926,24.02618,虎門巷135號,,935755444,
清翠露營園區,南投縣,仁愛鄉,121.1462194,24.03927373,大同村信義巷38附2號,,933539638,https://www.facebook.com/highmountaincamp/
武界快樂營區,南投縣,仁愛鄉,121.03515,23.93041,無,,937262954,
夢谷伊優達雅露營區,南投縣,仁愛鄉,121.087227,24.019468,信義巷,,921920593,
富野溪露營區(原熊溯溪露營區),南投縣,仁愛鄉,120.97975,24.06312,原名路43附5號,,905865286,
滿天馨露營區,南投縣,仁愛鄉,121.13676,24.02052,仁和路,,982836007,https://www.facebook.com/mtx0982836007/
森林烈人,南投縣,仁愛鄉,121.046008,23.918829,茶園巷1附4號,,975706651,
小瑞士花園,南投縣,仁愛鄉,121.1563512,24.04430113,南投縣仁愛鄉仁和路170號,492803308,,https://www.cingjing.gov.tw/mien/ins.php?index_id=26
朵娜朵露營區donato glamping,南投縣,仁愛鄉,121.159261,24.04493984,定遠新村25之3附1,,980717623,https://booking.owlting.com/donatoglamping?start=2024-05-30%C3%AF%C2%BC%C2%86end%3D2024-05-31%C3%AF%C2%BC%C2%86adult%3D2%C3%AF%C2%BC%C2%86source%3Dgha%C3%AF%C2%BC%C2%86child%3D0%C3%AF%C2%BC%C2%86infant%3D0%C3%AF%C2%BC%C2%86lang%3Dzh_TW&lang=zh_TW&adult=1&child=0&infant=0
武界雲海露營區,南投縣,仁愛鄉,,,,,,
虹谷有機農場,南投縣,仁愛鄉,121.0772526,23.9429587,清華巷124之2號,,933626865,https://www.facebook.com/hongku97/
靼靶嶺森林露營區,南投縣,仁愛鄉,121.0524871,23.8911409,南投縣仁愛鄉法治村介山巷97號,,912687986,
藍瑪司露營地,南投縣,仁愛鄉,121.120101,23.967957,親愛村大安路107附2號,,978175585,https://www.facebook.com/lamasu.camp/
馬赫坡9號秘境(原馬赫坡露營區),南投縣,仁愛鄉,121.18733,24.01666,溫泉馬赫坡路9號精英村廬山,,921066250,http://www.mahebo.com.tw/
黑米咖啡露營區,南投縣,仁愛鄉,121.0924187,23.96976,無,,905268975,
星緣營地,南投縣,仁愛鄉,,,過坑段235地號,,909228031,
部落尋奇溫泉農場,南投縣,仁愛鄉,121.1701913,24.0268603,南投縣仁愛鄉虎門巷80號,492803076,,http://0492803076.ego.tw/
阿霞露營區,南投縣,仁愛鄉,121.1805,24.16305,溫泉巷1號,,910775540,
武界雲頂露營天地,南投縣,仁愛鄉,121.0247449,23.9174753,南投縣仁愛鄉法治村茶園巷17-1號,,932615574,http://gentingcampground.wixsite.com/genting-wujie
日出藏雲,南投縣,仁愛鄉,121.10474,23.9841,親和巷43之3附3號,,928278267,
非比露營區,南投縣,仁愛鄉,121.103968,23.9832,高峰巷70號,,910922276,
歐敏露營區(原酋長茅蘆露營區),南投縣,仁愛鄉,121.1903066,24.023568,南投縣仁愛鄉榮華巷50號,492802939,988516279,https://www.facebook.com/om423/
迷露1850(原青青草原露營客棧),南投縣,仁愛鄉,121.168031,24.059529,仁和路179-5號,492563802,921300610,
士官長露營區,南投縣,仁愛鄉,121.1694974,24.0237664,無,,911237824,https://www.facebook.com/yong0809
舒谷露營區,南投縣,仁愛鄉,121.17279,24.03042,無,921353385,966773686,
蘋果園景觀露營區,南投縣,仁愛鄉,121.16662,24.0673,仁和路224附1號,,907327935,
松林農場露營區,南投縣,仁愛鄉,121.16589,24.02377,春陽村虎門巷96附1號,937219924,,
露野森林SNUWING,南投縣,仁愛鄉,121.15627,24.02432,春陽村龍山巷25號,,939646963,
深山先生露營區,南投縣,仁愛鄉,121.160382,24.04596,無,,933069310,
合歡仙境民宿露營區,南投縣,仁愛鄉,121.1451034,24.0588283,南投縣仁愛鄉福壽路介壽巷40號,492801633,976098152,https://www.facebook.com/lovecampingeveryday/
武界觀景茶園露營區,南投縣,仁愛鄉,121.0246882,23.9183867,南投縣仁愛鄉茶園巷17附2號,,966417299,https://www.facebook.com/cherlene0821
花鳥蟲鳴高山露營區,南投縣,仁愛鄉,121.17148,24.07446,大同村博望巷30-2號,,913953559,
波露克爾咖啡露營棧(瑪羅伊休息站),南投縣,仁愛鄉,121.1199891,23.9678726,南投縣仁愛鄉大安路107號,,912998686,https://www.facebook.com/ï¼E6ï¼B3ï¼A2ï¼E9ï¼9Cï¼B2ï¼E5ï¼85ï¼8Bï¼E7ï¼88ï¼BEï¼E5ï¼92ï¼96ï¼E5ï¼95ï¼A1ï¼E9ï¼9Cï¼B2ï¼E7ï¼87ï¼9Fï¼E6ï¼A3ï¼A7-1191360597651327/
溪寶梅園,南投縣,仁愛鄉,120.9511918,24.0745462,明月巷95-1號,,968285158,https://www.facebook.com/sbmy496/
快樂中原露營區,南投縣,仁愛鄉,120.9801336,24.0542975,原名路43附7號,,987375536,https://www.facebook.com/happy.m0918123472/
灥流露營區,南投縣,仁愛鄉,121.1581278,24.0377646,南投縣仁愛鄉壽亭巷20-2號,,915919557,https://www.my-camp.com.tw/index.php
愛和華林園,南投縣,仁愛鄉,121.1588962,24.0470246,遠定村39號,,933450225,https://www.facebook.com/AiHeHuaLinYuan/?locale2=zh_TW
採茶媽媽景觀露營區,南投縣,仁愛鄉,121.10077,23.98964,無,,912901038,
清境陽光露營,南投縣,仁愛鄉,121.154192,24.0358621,榮光巷50號之5,,953990559,https://www.facebook.com/profile.php?id=100057676568784
瑪莉溫泉休閒農莊,南投縣,仁愛鄉,121.163843,24.024158,虎門巷100號,,919695384,https://www.facebook.com/marryonshine681201/?fref=ts
麒帆如露營山莊,南投縣,仁愛鄉,121.0483967,23.9100116,武界林道投71鄉道,,912648245,https://www.chifanru.com/?fbclid=IwAR21ELbWOZZ9h4e4jIx-0n5bFLnfFnUM7tUQdrkTf7wy7EHXhKhkZ4z6ikA
曲冰嫚遊露營區(里格列營地),南投縣,仁愛鄉,121.071538,23.928099,萬豐村10鄰清華巷148附1號,,905182807,https://www.facebook.com/abis777/
翠峰露營區(卡爾小鎮),南投縣,仁愛鄉,121.194702,24.1035065,仁和路235號,,917231233,https://www.okgocamping.com/
武界松露露營區＆小木屋,南投縣,仁愛鄉,121.047635,23.902857,武安路1附6號,,911103553,
雲裳谷露營區,南投縣,仁愛鄉,120.9481,24.06597,清流段1812、1813、1821地號,,978903260,
川中島落羽松露營秘境,南投縣,仁愛鄉,120.947725,24.070265,清風路27-1號,,938227885,https://www.facebook.com/pjb3143v/
武界喜樂露營區,南投縣,仁愛鄉,121.049515,23.909341,法治村武安路23號,,930625120,
清流明月星空民宿/露營區,南投縣,仁愛鄉,120.9549952,24.0957274,明月巷100號,,,
小太陽景觀木屋,南投縣,仁愛鄉,121.172597,24.0604489,仁和路179號,492803861,963319928,http://suncabane.nantou.com.tw/
62階櫻花露營區,南投縣,仁愛鄉,121.1607686,24.0536182,南投縣仁愛鄉仁和路186之5附1號,,937916296,https://www.facebook.com/flowericamping/
哈爾斯塔特露營區,南投縣,仁愛鄉,121.15753,24.04094,無,,928514215,
彌格的露營區,南投縣,仁愛鄉,121.0470913,23.91314716,武安路22附3號,,985883266,
卑里露營區,南投縣,仁愛鄉,121.1629367,24.0237511,南投縣仁愛鄉虎門巷100號,,988957788,https://www.facebook.com/beli0963422209
山鷹露營區,南投縣,仁愛鄉,120.9498,24.07411,明月巷95之1附2號,,974188318,
清流溪畔露營區,南投縣,仁愛鄉,120.9496957,24.0720293,明月巷95-1附2號,,933334966,https://www.facebook.com/groups/211833692566166/
大塊森林,南投縣,仁愛鄉,120.9873531,24.0797723,南投縣仁愛鄉山林巷54618號附2,,975277399,https://www.facebook.com/DakuaiForest
相逢部落露營區,南投縣,仁愛鄉,120.9908738,23.89464071,平等巷1-10號,,967046031,
仙境傳說景觀露營區,南投縣,仁愛鄉,121.1291571,24.0147835,高峰巷70號,,,
蘇格蘭高地,南投縣,仁愛鄉,,,南投縣仁愛鄉大同村榮光巷8-9附1,,,https://www.facebook.com/scottishhighlands1700/
田心小營地,南投縣,仁愛鄉,120.97106,24.06757,互助村原名路136附1號,977408845,,
161•森林/161•Bbuyu,南投縣,仁愛鄉,120.95894,24.04755,原名路66附5號號,,921707177,
曲冰岱牧露營區(曲冰金龍露營區),南投縣,仁愛鄉,121.075358,23.934111,萬豐村清華巷138附3號,,910622069,http://www.facebook.com/goGDcamp/
五六露營農場,南投縣,仁愛鄉,121.11941,24.01341,仁和路1附3號,,982188005,https://www.facebook.com/56camping/
廬山日記露營區,南投縣,仁愛鄉,121.1890371,24.01619788,精英村榮華巷153號,,932789816,
